"filename", "language", "JavaScript", "JavaScript React", "CSS", "comment", "blank", "total"
"/Users/bsluther/development/gainzville/src/svg/PlusSvg.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
"/Users/bsluther/development/gainzville/src/svg/RecordSvg.jsx", "JavaScript React", 0, 21, 0, 0, 2, 23
"/Users/bsluther/development/gainzville/src/svg/SearchSvg.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
"/Users/bsluther/development/gainzville/src/svg/TrashSVG.jsx", "JavaScript React", 0, 15, 0, 0, 1, 16
"/Users/bsluther/development/gainzville/src/svg/UserSvg.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
"/Users/bsluther/development/gainzville/src/svg/XCircleSvg.jsx", "JavaScript React", 0, 17, 0, 0, 1, 18
"/Users/bsluther/development/gainzville/src/svg/XSvg.jsx", "JavaScript React", 0, 15, 0, 0, 0, 15
"/Users/bsluther/development/gainzville/src/utility/fns.js", "JavaScript", 52, 0, 0, 0, 14, 66
"/Users/bsluther/development/gainzville/src/utility/regex.js", "JavaScript", 2, 0, 0, 0, 5, 7
"/Users/bsluther/development/gainzville/src/z_TO_BE_DELETED/LoginOLD.jsx", "JavaScript React", 0, 69, 0, 0, 4, 73
"/Users/bsluther/development/gainzville/src/z_TO_BE_DELETED/OLDActivityInst.jsx", "JavaScript React", 0, 45, 0, 0, 4, 49
"/Users/bsluther/development/gainzville/src/z_TO_BE_DELETED/OLDActivityInstance.jsx", "JavaScript React", 0, 75, 0, 0, 11, 86
"/Users/bsluther/development/gainzville/src/z_TO_BE_DELETED/OLDActivityInstanceListbox.jsx", "JavaScript React", 0, 54, 0, 0, 6, 60
"/Users/bsluther/development/gainzville/src/z_TO_BE_DELETED/OLDNewActivityInstance.jsx", "JavaScript React", 0, 35, 0, 0, 4, 39
"Total", "-", 1572, 2765, 3, 125, 578, 5043
